pregunta,respuesta
¿Dónde están ubicados?,"Estamos en la Av. Principal 123, cerca del parque central."
¿En qué lugar se encuentran?,"Nuestra dirección es Av. Principal 123, justo al lado del parque central."
¿Me puedes decir la dirección?,"Claro, nos ubicamos en la Av. Principal 123, frente al parque central."
¿Cuáles son los horarios?,"Atendemos de 8 AM a 10 PM todos los días."
¿En qué horario están abiertos?,"Nuestro horario es de 8 de la mañana a 10 de la noche, todos los días."
¿De qué hora a qué hora abren?,"Abrimos todos los días desde las 8 AM hasta las 10 PM."
¿Qué métodos de pago aceptan?,"Aceptamos efectivo, tarjetas de crédito y débito, y pagos móviles."
¿Con qué formas de pago trabajan?,"Puedes pagar con tarjeta, efectivo o servicios de pago móvil como SINPE."
¿Puedo pagar con tarjeta o efectivo?,"Sí, aceptamos pagos en efectivo, tarjetas y también pagos electrónicos."
¿Tienen promociones?,"Sí, consulta nuestras redes sociales para conocer las promociones del día."
¿Están dando alguna promoción hoy?,"Tenemos promociones diarias, te invitamos a revisar nuestras redes para conocerlas."
¿Dónde veo las ofertas?,"Puedes ver las promociones actuales en nuestras páginas de redes sociales."
¿Cuál es el menú?,"Tenemos pizza, pasta, ensaladas, hamburguesas, bebidas, etc., ¡y postres!"
¿Me muestras el menú?,"Claro, contamos con una gran variedad: pizzas, pastas, ensaladas, hamburguesas, bebidas y postres."
¿Qué platos ofrecen?,"Nuestro menú incluye pizzas, pastas, ensaladas, hamburguesas, postres y mucho más."
¿Ofrecen entregas a domicilio?,"Sí, puedes hacer pedidos desde nuestra web o por teléfono."
¿Hacen delivery?,"Claro que sí, hacemos entregas a domicilio, solo haz tu pedido en línea o llámanos."
¿Puedo pedir comida a mi casa?,"Sí, contamos con servicio a domicilio por web o llamada telefónica."
¿Cómo contacto con soporte?,"Puedes escribirnos al correo soporte@ejemplo.com o llamar al 123-456-7890."
¿Dónde pido ayuda si tengo un problema?,"Puedes contactarnos a soporte@ejemplo.com o al número 123-456-7890."
¿Tienen atención al cliente?,"Sí, puedes comunicarte con nuestro equipo de soporte al correo o teléfono indicados."
¿Hay opciones vegetarianas?,"Sí, ofrecemos varias opciones vegetarianas en nuestro menú."
¿Tienen comidas sin carne?,"Claro, tenemos varias comidas vegetarianas disponibles."
¿Ofrecen platos para vegetarianos?,"Sí, en el menú encontrarás varias alternativas vegetarianas."
Hola,"¡Hola! ¿En qué puedo ayudarte hoy?"
Hola ¿me puedes ayudar?,"¡Hola! Claro, dime en qué necesitas ayuda."
Buenos días,"¡Buenos días! ¿Cómo puedo ayudarte?"
¿Cómo realizo un pedido por la web?,Haz tu pedido fácilmente desde nuestra web oficial o usando la app de Pizza Hut.
¿Qué pasos sigo para pedir en línea?,Puedes hacer tu orden online en nuestra app o sitio web y pagar con tu método favorito.
¿Cuál es el proceso para ordenar por internet?,Entra a la app o web de Pizza Hut elige lo que te gusta y paga de forma segura.
¿Cuentan con una app para hacer pedidos?,Nuestra app está disponible tanto en Android como iOS.
¿Disponen de aplicación para celulares?,Puedes descargar la app de Pizza Hut en tu tienda de aplicaciones favorita.
¿Puedo usar una app para ordenar en Pizza Hut?,Disponible gratis en Google Play y App Store como 'Pizza Hut'.
¿Tienen alimentos aptos para personas con intolerancia al gluten?,Sí ofrecemos opciones sin gluten solo debes indicarlo al ordenar.
¿Puedo pedir una pizza sin gluten en Pizza Hut?,Tenemos disponibles productos sin gluten certificados.
¿Se puede pedir comida sin gluten?,Contamos con alternativas aptas para personas con intolerancia al gluten.
¿Qué hago si quiero cambiar o anular mi pedido?,Puedes cancelar o modificar tu pedido desde la app o llamándonos cuanto antes.
¿Puedo editar un pedido luego de hacerlo?,Para hacer cambios en tu pedido comunícate por teléfono o usa la opción en la app.
¿Cómo gestiono una cancelación de pedido?,Llámanos de inmediato o revisa la sección de pedidos en la app para editarlo.
¿En cuánto tiempo llega el pedido a mi casa?,Generalmente entregamos entre 30 y 45 minutos según tu ubicación.
¿Cuánto demoran en traer la comida?,El tiempo varía pero suele estar entre 30 y 45 minutos.
¿Cuál es la demora habitual en las entregas?,Depende de la zona pero normalmente es menos de 45 minutos.
¿Dónde reviso el estado de mi pedido?,Recibirás un link con el seguimiento del pedido en tu celular.
¿Cómo hago seguimiento a mi orden?,El estado del pedido se puede seguir en tiempo real desde la app o SMS.
¿Tienen rastreo en tiempo real de los pedidos?,Te enviamos un enlace para rastrear tu pedido después de confirmarlo.
¿Se pueden comprar tarjetas de regalo en Pizza Hut?,Sí tenemos tarjetas de regalo desde $10 físicas y digitales.
¿Ofrecen algún tipo de gift card?,Puedes comprar gift cards en tiendas o en nuestra página web.
¿Dónde adquiero una tarjeta para regalar?,Ofrecemos tarjetas prepagadas que puedes regalar desde nuestra web.
¿Cómo se ganan puntos con las compras?,Cada compra suma puntos que luego se canjean por beneficios.
¿Qué obtengo al unirme al sistema de recompensas?,Acumulas puntos al comprar y los usas para obtener productos gratis.
¿Cómo operan las recompensas de Pizza Hut?,Nuestro programa te premia con puntos por cada dólar gastado.
¿Puedo contratar a Pizza Hut para un evento?,Sí contamos con servicio especial para eventos y reuniones.
